Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
14.50,5.33,2.80,67.00,Gold
14.50,5.20,0.60,67.00,Gold
14.50,5.47,1.57,53.00,Gold
14.00,5.12,4.52,107.00,Gold
14.50,5.20,0.16,47.00,Gold
15.00,4.80,0.40,145.00,Gold
14.14,3.25,0.40,81.00,Gold
14.07,3.72,0.30,80.00,Gold
14.15,3.37,0.30,98.00,Grand Gold
13.00,5.50,4.50,145.00,Grand Gold
13.90,5.00,3.40,89.00,Gold
14.00,6.00,4.00,110.00,Gold
14.70,6.10,2.50,145.00,Gold
14.80,4.80,3.40,102.00,Gold
14.70,5.60,3.00,145.00,Gold
14.17,6.17,2.30,22.00,Gold
13.82,6.75,1.40,17.00,Gold
14.69,6.15,1.50,18.00,Gold
14.61,6.03,2.10,27.00,Gold
14.00,5.30,3.50,0.00,Gold
14.00,5.37,1.50,141.00,Gold
14.50,5.64,0.50,86.00,Gold
13.50,5.95,10.80,90.00,Gold
14.00,5.60,3.00,95.00,Gold
14.50,5.58,1.22,98.00,Gold
14.00,4.70,2.30,16.00,Gold
14.54,2.73,2.10,52.00,Gold
14.00,5.30,2.10,88.00,Gold
13.00,5.30,2.00,120.00,Gold
14.50,5.70,0.80,85.29,Gold
14.40,5.30,2.59,83.00,Gold
14.15,5.30,0.30,97.00,Gold
14.00,5.00,0.40,96.00,Silver
13.66,3.63,0.41,0.00,Gold
14.75,3.09,0.30,63.10,Gold
13.46,3.41,0.30,69.60,Gold
12.78,3.15,0.70,64.30,Gold
13.80,3.12,2.69,0.05,Gold
13.00,3.15,3.96,0.07,Gold
14.00,4.60,0.70,26.00,Gold
19.40,6.90,13.80,70.00,Silver
14.08,3.19,0.70,0.00,Gold
14.50,5.91,0.70,86.00,Silver
14.00,4.98,0.70,60.00,Gold
15.00,5.75,0.80,88.00,Silver
13.40,5.40,1.50,108.00,Gold
13.00,5.30,3.30,84.00,Gold
14.20,5.00,2.60,114.00,Gold
13.70,5.40,5.80,88.00,Gold
14.00,5.30,2.00,53.00,Silver
15.00,5.60,2.40,93.00,Silver
15.50,4.05,1.00,17.00,Gold
15.00,4.02,0.70,35.00,Gold
13.40,4.60,2.50,91.00,Gold
13.40,4.60,2.50,91.00,Gold
14.20,5.20,3.00,110.00,Gold
