Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Berlin -Edición de verano- 2022,Conde Valdemar Crianza,2018,Bodegas Valdemar,España,La Rioja,Vino tranquilo,Seco,tanque de acero,tinto,"Garnacha Tinta, Tempranillo, Mazuelo","14,15","5,58","2,1",129,"8,95",No,Gold
Berlin -Edición de verano- 2022,Familia Martínez Bujanda Crianza,2018,Bodegas Valdemar,España,La Rioja,Vino tranquilo,Seco,tanque de acero,tinto,"Garnacha Tinta, Tempranillo, Mazuelo","14,37","5,54","1,5",70,"8,95",No,Gold
Berlin -Edición de verano- 2022,Pago de Sangara Seleccion de la familia Reserva,2018,Viñedos y Bodegas García Figuero SL,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"15,38","4,14","2,2",43,No especificado,No,Gold
Berlin -Edición de verano- 2022,NEXUS CRIANZA,2015,Nexus Bodegas,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"14,5","4,9","1,3",75,"16,95",No,Gold
Berlin -Edición de verano- 2022,NEXUS ONE,2019,Nexus Bodegas,España,Ribera del Duero,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tempranillo,"14,5","5,2","1,2",73,"16,95",No,Gold
Berlin -Edición de verano- 2022,Raices Gran Reserva,2016,Bodegas Fernando Castro,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,3","4,72","1,6",110,6,No,Gold
Berlin -Edición de verano- 2022,MUCHO MÁS RED BLEND,sin añada,Felix Solis,España,Kastilien-La Mancha,Vino tranquilo,semi dulce,tanque de acero,tinto,"Tempranillo, Sirah",14,"4,61",18,180,"6,9",No,Gold
Berlin -Edición de verano- 2022,Lambrusco rosso dolce Emilia IGT 4Valli,2021,Cantine 4 Valli,Italia,Emilia-Romagna,Vino de aguja,dulce,tanque de acero,tinto,Lambrusco,"7,5","7,1",65,170,6,No,Gold
Berlin -Edición de verano- 2022,"Nero d'Avola Sicilia DOP ""77 Botticelle"" BIO - Andrero",2020,Alibrianza srl/Cascina Radice,Italia,Sizilien,Vino tranquilo,Seco,tanque de acero,tinto,Nero d´Avola,15,"6,5",5,80,"8,9",Sí,Gold
Berlin -Edición de verano- 2022,"Nero d'Avola Sicilia DOP ""99 Botticelle"" Vendemmia Tardiva - Andrero",2020,Alibrianza srl/Cascina Radice,Italia,Sizilien,Vino tranquilo,afrutado,maduración en barrica - parcialmente,tinto,Nero d´Avola,15,"5,5",8,110,"9,9",No,Gold
Berlin -Edición de verano- 2022,Entrecôte Vin de France,2021,Les Grands Chais de France,Francia,France,Vino tranquilo,Seco,tanque de acero,tinto,"Syrah, Merlot, Cabernet Sauvignon","13,72","4,9","13,4",114,"4,99",No,Gold
Berlin -Edición de verano- 2022,Le Sweet Filou Vin de France Rouge,sin añada,François Martenot,Francia,France,Vino tranquilo,dulce,tanque de acero,tinto,"Caladoc, Carignan, Grenache","11,61","4,68",46,106,"3,49",No,Gold
Berlin -Edición de verano- 2022,Château Seguala Icône AOP Côtes du Roussillon Tautavel,2020,Château Séguala,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Carignan, Syrah, Grenache","15,25","2,97","0,84",55,"24,99",No,Gold
Berlin -Edición de verano- 2022,Château Seguala Grand Côteau AOP Côtes du Roussillon Tautavel,2020,Château Séguala,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Mourvedre, Carignan, Syrah, Grenache","14,65","4,62","1,13",68,"9,99",No,Gold
Berlin -Edición de verano- 2022,Benito Escudero,2019,Bodegas Escudero,España,Navarra,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Garnacha, Tempranillo","13,5","5,3","2,1",47,6,No,Gold
Berlin -Edición de verano- 2022,Lucido,2019,Bodegas Escudero,España,Navarra,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Garnacha, Tempranillo","13,5","5,1",2,48,6,No,Gold
Berlin -Edición de verano- 2022,Col de Perdigué,2020,Domaine de La Rectorie,Francia,Roussillon,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Syrah,15,"3,37","0,8",22,32,No,Gold
Berlin -Edición de verano- 2022,ARISTOCRATICO Amarone della Valpolicella DOCG,2019,Enoitalia,Italia,Veneto,Vino tranquilo,Seco,tanque de acero,tinto,"Rondinella, Corvina, Corvinone","15,05","5,6","5,8",128,24,No,Gold
Berlin -Edición de verano- 2022,Amarone Della Valpolicella Classico DOCG,2016,Cantina Danese Srl,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Corvina Veronese, Rondinella","15,5","5,5","5,4",70,"15,5",No,Gold
Berlin -Edición de verano- 2022,Moscheta Nera Amarone Della Valpolicella DOCG,2019,Centoterre SRL,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Rondinella, Corvina Veronese, Corvinone",15,"5,4","6,1",130,25,No,Gold
Berlin -Edición de verano- 2022,Amarone Classico della Valpolicella Docg,2017,Salvaterra SPA,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Oseleta, Corvina Veronese, Corvinone",16,"5,5",5,143,40,No,Gold
Berlin -Edición de verano- 2022,Stajnbech Rosso,2019,Borgo Stajnbech,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Refosco dal Peduncolo Rosso, Cabernet Sauvignon","13,5",5,2,90,21,No,Gold
Berlin -Edición de verano- 2022,Vulcana,2018,Corte Bacaro,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Merlot, Cabernet Sauvignon","13,5","5,6",3,86,15,No,Gold
Berlin -Edición de verano- 2022,El Campeador,2021,Artiga Fustel S.L.,España,Murcia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Syrah, Monastrell","14,5","5,5","4,5",0,"1,7",No,Gold
Berlin -Edición de verano- 2022,Primitivo Susumaniello igt SAlento,2021,Mezzatia Vini srl,Italia,Apulien,Vino tranquilo,Semi seco,tanque de acero,tinto,"Primitivo, Susumaniello","14,32","5,44","11,9",149,9,No,Gold
Berlin -Edición de verano- 2022,Salento Igt vino Rosso Passito,2020,Cantine Pirovano,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Negroamaro, Malvasia","14,5","6,4",14,100,"4,1",No,Gold
Berlin -Edición de verano- 2022,SL Primitivo Susumaniello IGT Salento,2021,Cantine Sgarzi Luigi,Italia,Puglia,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Primitivo, Susumaniello","14,5","5,4",12,130,"3,99",No,Gold
Berlin -Edición de verano- 2022,Fontesole Syrah,2021,SCAV La Fontésole,Francia,Languedoc,Vino tranquilo,Seco,Hormigón,tinto,Syrah,"13,5","3,2",2,90,"4,2",No,Gold
Berlin -Edición de verano- 2022,Gran Seleccion,2019,"Bodegas Luis Marin Pardos, S.L.",España,Aragón,Vino tranquilo,Seco,tanque de acero,tinto,"Tempranillo, Garnacha","13,8","3,18","1,96",33,6,No,Gold
Berlin -Edición de verano- 2022,Cariñena DO Gran Reserva,2017,Bodegas Paniza,España,Aragón,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Garnacha, Cabernet, Tempranillo","13,5","5,3",2,0,No especificado,No,Gold
Berlin -Edición de verano- 2022,Celebrities Cabernet Sauvignon,2021,Bodegas San Valero,España,Aragón,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Cabernet Sauvignon,"14,5","3,25","2,08",2,6,No,Gold
